time	V(out)
0.000000000000000e+00	1.004372e+00
1.428571419889328e-09	1.004366e+00
2.857142839778655e-09	1.004352e+00
4.285714259667983e-09	1.004328e+00
5.714285679557311e-09	1.004296e+00
7.142857099446638e-09	1.004255e+00
8.571428519335966e-09	1.004204e+00
9.999999939225290e-09	1.004145e+00
1.999999987845058e-08	1.003558e+00
3.999999975690116e-08	1.001814e+00
7.999999951380232e-08	9.982976e-01
1.599999990276046e-07	9.945490e-01
2.419371543725601e-07	9.946788e-01
3.507647001751801e-07	9.963052e-01
4.524496167361021e-07	9.965174e-01
5.992346925434205e-07	9.961494e-01
7.562243849490062e-07	9.959713e-01
1.000000000000000e-06	9.954916e-01
1.024377561505099e-06	9.963595e-01
1.073132684515298e-06	9.978569e-01
1.170642930535696e-06	9.993036e-01
1.259445954117802e-06	9.994172e-01
1.377497261169154e-06	9.992662e-01
1.540188970491154e-06	9.993001e-01
1.791345867272145e-06	9.993004e-01
2.293659660834129e-06	9.992959e-01
3.270222160834129e-06	9.992976e-01
4.246784660834129e-06	9.992976e-01
5.223347160834129e-06	9.992976e-01
6.199909660834129e-06	9.992976e-01
7.176472160834129e-06	9.992976e-01
8.153034660834129e-06	9.992976e-01
9.129597160834128e-06	9.992976e-01
1.010615966083413e-05	9.992975e-01
1.108272216083413e-05	9.992976e-01
1.205928466083413e-05	9.992975e-01
1.303584716083413e-05	9.992976e-01
1.401240966083413e-05	9.992976e-01
1.498897216083413e-05	9.992976e-01
1.596553466083413e-05	9.992976e-01
1.694209716083414e-05	9.992976e-01
1.791865966083414e-05	9.992976e-01
1.889522216083414e-05	9.992976e-01
1.987178466083414e-05	9.992976e-01
2.084834716083414e-05	9.992976e-01
2.182490966083414e-05	9.992976e-01
2.280147216083414e-05	9.992976e-01
2.377803466083414e-05	9.992976e-01
2.838182930369129e-05	9.992976e-01
3.298562394654844e-05	9.992976e-01
3.758941858940559e-05	9.992976e-01
4.219321323226273e-05	9.992976e-01
4.679700787511989e-05	9.992976e-01
5.140080251797704e-05	9.992976e-01
5.600459716083417e-05	9.992976e-01
1.010000000000000e-04	9.992976e-01
1.010535395465005e-04	1.001004e+00
1.011606186395016e-04	1.003345e+00
1.013193068320168e-04	1.004844e+00
1.014750613172413e-04	1.005819e+00
1.016360171801408e-04	1.007305e+00
1.016780882742011e-04	1.007730e+00
1.017622304623216e-04	1.008646e+00
1.018317156237589e-04	1.009584e+00
1.018610296771254e-04	1.010063e+00
1.019196577838584e-04	1.011222e+00
1.020000000000000e-04	1.013040e+00
1.020080342216142e-04	1.012987e+00
1.020241026648425e-04	1.012459e+00
1.020562395512991e-04	1.010371e+00
1.021205133242124e-04	1.006261e+00
1.022311049162571e-04	1.003319e+00
1.023517621298260e-04	1.003947e+00
1.024804065527768e-04	1.004740e+00
1.026666988299475e-04	1.004393e+00
1.028843017036827e-04	1.004249e+00
