v1	V(out)
2.590000000000002e-01	-7.848331e-01
2.600000000000002e-01	-7.848315e-01
2.610000000000002e-01	-7.848299e-01
2.620000000000002e-01	-7.848282e-01
2.630000000000002e-01	-7.848265e-01
2.640000000000002e-01	-7.848248e-01
2.650000000000002e-01	-7.848229e-01
2.660000000000002e-01	-7.848211e-01
2.670000000000002e-01	-7.848192e-01
2.680000000000002e-01	-7.848172e-01
2.690000000000002e-01	-7.848153e-01
2.700000000000002e-01	-7.848132e-01
2.710000000000002e-01	-7.848111e-01
2.720000000000002e-01	-7.848089e-01
2.730000000000002e-01	-7.848067e-01
2.740000000000002e-01	-7.848043e-01
2.750000000000002e-01	-7.848020e-01
2.760000000000002e-01	-7.847996e-01
2.770000000000002e-01	-7.847971e-01
2.780000000000002e-01	-7.847946e-01
2.790000000000002e-01	-7.847919e-01
2.800000000000002e-01	-7.847893e-01
2.810000000000002e-01	-7.847865e-01
2.820000000000002e-01	-7.847837e-01
2.830000000000002e-01	-7.847808e-01
2.840000000000002e-01	-7.847778e-01
2.850000000000002e-01	-7.847748e-01
2.860000000000002e-01	-7.847716e-01
2.870000000000002e-01	-7.847684e-01
2.880000000000002e-01	-7.847651e-01
2.890000000000002e-01	-7.847617e-01
2.900000000000002e-01	-7.847582e-01
2.910000000000002e-01	-7.847546e-01
2.920000000000002e-01	-7.847510e-01
2.930000000000002e-01	-7.847472e-01
2.940000000000002e-01	-7.847434e-01
2.950000000000002e-01	-7.847394e-01
2.960000000000002e-01	-7.847353e-01
2.970000000000002e-01	-7.847311e-01
2.980000000000002e-01	-7.847269e-01
2.990000000000002e-01	-7.847225e-01
3.000000000000002e-01	-7.847180e-01
3.010000000000002e-01	-7.847134e-01
3.020000000000002e-01	-7.847086e-01
3.030000000000002e-01	-7.847038e-01
3.040000000000002e-01	-7.846988e-01
3.050000000000002e-01	-7.846937e-01
3.060000000000002e-01	-7.846884e-01
3.070000000000002e-01	-7.846830e-01
3.080000000000002e-01	-7.846775e-01
3.090000000000002e-01	-7.846718e-01
3.100000000000002e-01	-7.846660e-01
3.110000000000002e-01	-7.846600e-01
3.120000000000002e-01	-7.846539e-01
3.130000000000002e-01	-7.846476e-01
3.140000000000002e-01	-7.846412e-01
3.150000000000002e-01	-7.846346e-01
3.160000000000002e-01	-7.846279e-01
3.170000000000002e-01	-7.846209e-01
3.180000000000002e-01	-7.846138e-01
3.190000000000002e-01	-7.846065e-01
3.200000000000002e-01	-7.845990e-01
3.210000000000002e-01	-7.845913e-01
3.220000000000002e-01	-7.845834e-01
3.230000000000002e-01	-7.845754e-01
3.240000000000002e-01	-7.845671e-01
