time	V(out)
5.999999999999999e-04	1.004484e+00
6.000364263358070e-04	1.004470e+00
6.001092790074212e-04	1.004413e+00
6.002549843506494e-04	1.004169e+00
6.005463950371060e-04	1.003326e+00
6.010000000000000e-04	1.001599e+00
6.011360814888682e-04	1.001069e+00
6.013175234740258e-04	1.000548e+00
6.015746596872721e-04	1.000058e+00
6.018492155856672e-04	9.997689e-01
6.022296799385636e-04	9.995819e-01
6.025761404233342e-04	9.995127e-01
6.031017043073438e-04	9.994810e-01
6.036939149851953e-04	9.994714e-01
6.046704774851953e-04	9.994694e-01
6.056470399851953e-04	9.994692e-01
6.066236024851953e-04	9.994693e-01
6.076001649851953e-04	9.994693e-01
7.010000000000000e-04	9.994693e-01
7.010976562500000e-04	9.995550e-01
7.012929687500000e-04	9.998505e-01
7.016093750000000e-04	1.000619e+00
7.019999999999999e-04	1.001834e+00
7.020390625000000e-04	1.001966e+00
7.021171874999999e-04	1.002208e+00
7.022734374999999e-04	1.002599e+00
7.025859374999999e-04	1.003155e+00
7.030497022173122e-04	1.003678e+00
7.035711813601678e-04	1.004011e+00
7.042741085366695e-04	1.004238e+00
7.052506710366695e-04	1.004385e+00
7.062272335366695e-04	1.004447e+00
7.072037960366695e-04	1.004470e+00
7.081803585366695e-04	1.004479e+00
7.091569210366695e-04	1.004482e+00
7.101334835366695e-04	1.004483e+00
7.111100460366695e-04	1.004484e+00
7.120866085366695e-04	1.004484e+00
7.130631710366695e-04	1.004484e+00
7.140397335366695e-04	1.004484e+00
7.150162960366695e-04	1.004484e+00
7.159928585366695e-04	1.004484e+00
7.179459835366695e-04	1.004484e+00
7.198991085366695e-04	1.004484e+00
7.218522335366695e-04	1.004484e+00
7.238053585366695e-04	1.004484e+00
7.257584835366695e-04	1.004484e+00
7.277116085366695e-04	1.004484e+00
7.296647335366695e-04	1.004484e+00
7.999999999999999e-04	1.004484e+00
8.000364263413284e-04	1.004470e+00
8.001092790239855e-04	1.004413e+00
8.002549843892996e-04	1.004169e+00
8.005463951199277e-04	1.003326e+00
8.010000000000000e-04	1.001599e+00
8.011360814640217e-04	1.001069e+00
8.013175234160506e-04	1.000548e+00
8.015746596261702e-04	1.000058e+00
8.018492155313873e-04	9.997689e-01
8.022296798953986e-04	9.995819e-01
8.025761403627022e-04	9.995127e-01
8.031017042267150e-04	9.994810e-01
8.036939148759983e-04	9.994714e-01
8.046704773759983e-04	9.994694e-01
8.056470398759983e-04	9.994692e-01
